"category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"KEGG","mmu04510",15,196,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000022369,10090.ENSMUSP00000025522,10090.ENSMUSP00000028499,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000052020,10090.ENSMUSP00000084043,10090.ENSMUSP00000096712,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000127487,10090.ENSMUSP00000129584","Col1a1,Lamb1,Vcl,Pdgfrb,Itgav,Col1a2,Col4a1,Col4a2,Flnb,Spp1,Itga7,Ptk2,Itga6,Tnxb,Bcar1",9.74e-10,3.23e-07,"Focal adhesion"
"KEGG","mmu04512",11,86,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000028499,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000084043,10090.ENSMUSP00000096712,10090.ENSMUSP00000107729,10090.ENSMUSP00000127487,10090.ENSMUSP00000142109","Col1a1,Lamb1,Itgav,Col1a2,Col4a1,Col4a2,Spp1,Itga7,Itga6,Tnxb,Dag1",1.31e-09,3.23e-07,"ECM-receptor interaction"
"KEGG","mmu04974",9,106,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000004201,10090.ENSMUSP00000028280,10090.ENSMUSP00000029848,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000039657,10090.ENSMUSP00000099826","Col1a1,Col5a3,Col5a1,Col24a1,Col1a2,Col4a1,Col4a2,Atp1a1,Col23a1",1.07e-06,0.00012,"Protein digestion and absorption"
"KEGG","mmu05165",14,342,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000019231,10090.ENSMUSP00000025522,10090.ENSMUSP00000028499,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000078741,10090.ENSMUSP00000084043,10090.ENSMUSP00000096712,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000127487","Col1a1,Lamb1,Atp6ap1,Pdgfrb,Itgav,Col1a2,Col4a1,Col4a2,Notch2,Spp1,Itga7,Ptk2,Itga6,Tnxb",5.02e-06,0.00042,"Human papillomavirus infection"
"KEGG","mmu04151",14,353,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000020308,10090.ENSMUSP00000025522,10090.ENSMUSP00000028499,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000084043,10090.ENSMUSP00000096712,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000127487,10090.ENSMUSP00000155225","Col1a1,Lamb1,Ddit4,Pdgfrb,Itgav,Col1a2,Col4a1,Col4a2,Spp1,Itga7,Ptk2,Itga6,Tnxb,Nr4a1",7.1e-06,0.00047,"PI3K-Akt signaling pathway"
"KEGG","mmu05146",7,102,10090,"10090.ENSMUSP00000001547,10090.ENSMUSP00000002979,10090.ENSMUSP00000022369,10090.ENSMUSP00000031668,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000105663","Col1a1,Lamb1,Vcl,Col1a2,Col4a1,Col4a2,Ptk2",6.22e-05,0.0034,"Amoebiasis"
"KEGG","mmu04810",9,211,10090,"10090.ENSMUSP00000022369,10090.ENSMUSP00000025522,10090.ENSMUSP00000028499,10090.ENSMUSP00000035045,10090.ENSMUSP00000096712,10090.ENSMUSP00000099162,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729,10090.ENSMUSP00000129584","Vcl,Pdgfrb,Itgav,Mras,Itga7,Limk2,Ptk2,Itga6,Bcar1",0.00019,0.009,"Regulation of actin cytoskeleton"
"KEGG","mmu05222",6,92,10090,"10090.ENSMUSP00000002979,10090.ENSMUSP00000028499,10090.ENSMUSP00000033898,10090.ENSMUSP00000033899,10090.ENSMUSP00000105663,10090.ENSMUSP00000107729","Lamb1,Itgav,Col4a1,Col4a2,Ptk2,Itga6",0.00027,0.0113,"Small cell lung cancer"
"KEGG","mmu00100",3,20,10090,"10090.ENSMUSP00000022977,10090.ENSMUSP00000038063,10090.ENSMUSP00000057354","Sqle,Dhcr24,Sc5d",0.0011,0.0421,"Steroid biosynthesis"
"KEGG","mmu04360",7,175,10090,"10090.ENSMUSP00000009143,10090.ENSMUSP00000066857,10090.ENSMUSP00000069024,10090.ENSMUSP00000087643,10090.ENSMUSP00000099162,10090.ENSMUSP00000105663,10090.ENSMUSP00000134263","Bmp7,Slit3,Sema5a,Sema3g,Limk2,Ptk2,Slit2",0.0014,0.0465,"Axon guidance"
"KEGG","mmu05410",5,88,10090,"10090.ENSMUSP00000028499,10090.ENSMUSP00000036410,10090.ENSMUSP00000096712,10090.ENSMUSP00000107729,10090.ENSMUSP00000142109","Itgav,Prkab2,Itga7,Itga6,Dag1",0.0016,0.0481,"Hypertrophic cardiomyopathy"
